x,y,dist,x_real,y_real,z_real,dist_real,orient,direct,SrcNum,DetNum
-10.000,-25.000,60.000,-1.592,-43.113,37.388,167.671,hori,straight,S03,D08
0.000,-12.500,83.815,-4.324,-31.517,49.817,163.331,hori,antidiag,S03,D12
0.000,-37.500,83.815,1.830,-32.285,23.679,175.816,hori,diagonal,S03,D09
10.000,-12.500,103.078,-5.906,-22.677,49.670,161.779,hori,antidiag,S03,D13
10.000,-37.500,103.078,0.325,-20.549,23.679,175.014,hori,diagonal,S03,D10
20.000,-12.500,122.577,-10.541,-9.310,49.112,158.894,hori,antidiag,S03,D14
20.000,-37.500,122.577,-2.371,-7.946,23.679,175.662,hori,diagonal,S03,D11
-30.000,-25.000,53.852,-80.223,-42.562,36.205,59.922,vert,antidiag,S05,D03
-30.000,-50.000,20.000,-85.636,-43.842,10.000,26.842,hori,straight,S04,D03
-10.000,-25.000,78.102,-8.410,-42.250,36.212,170.505,hori,antidiag,S07,D03
-10.000,-50.000,60.000,-3.079,-43.796,10.000,173.245,hori,straight,S06,D03
0.000,-37.500,83.815,-1.871,-32.431,23.666,175.860,hori,antidiag,S08,D03
10.000,-37.500,103.078,-3.555,-17.125,23.644,174.645,hori,antidiag,S09,D03
20.000,-37.500,122.577,-5.845,-8.434,23.587,173.802,hori,antidiag,S10,D03
-20.000,-12.500,25.000,-76.729,-53.238,49.910,27.015,vert,straight,S05,D04
0.000,-12.500,47.170,5.033,-53.055,49.913,155.567,hori,diagonal,S05,D08
10.000,0.000,60.000,2.302,-41.459,62.342,150.288,hori,straight,S05,D12
10.000,-25.000,78.102,8.455,-42.227,36.205,170.447,hori,diagonal,S05,D09
20.000,0.000,80.000,0.719,-32.619,62.195,151.272,hori,straight,S05,D13
20.000,-25.000,94.340,6.950,-30.491,36.205,172.581,hori,diagonal,S05,D10
30.000,0.000,100.000,-3.915,-19.253,61.637,152.718,hori,straight,S05,D14
30.000,-25.000,111.803,4.254,-17.889,36.205,176.513,hori,diagonal,S05,D11
-20.000,-37.500,25.000,-82.142,-54.518,23.705,27.835,vert,straight,S04,D04
0.000,-12.500,47.170,-4.915,-52.927,49.917,155.658,hori,antidiag,S07,D04
0.000,-37.500,47.170,0.416,-54.473,23.705,166.626,hori,diagonal,S06,D04
10.000,-25.000,60.000,1.623,-43.107,37.371,167.677,hori,straight,S08,D04
20.000,-25.000,80.000,-0.061,-27.802,37.349,170.430,hori,straight,S09,D04
30.000,-25.000,100.000,-2.350,-19.110,37.292,171.946,hori,straight,S10,D04
0.000,-37.500,47.170,-0.380,-54.335,23.708,166.701,hori,antidiag,S04,D08
10.000,-25.000,78.102,-3.111,-42.739,36.138,169.648,hori,antidiag,S04,D12
