x,y,OptNum,OptGrp
-155.56349186104,70.7106781186548,S01,none
-155.56349186104,42.4264068711929,S02,none
-155.56349186104,14.142135623731,S03,none
-127.279220613579,70.7106781186548,S04,none
-127.279220613579,42.4264068711929,S05,none
-127.279220613579,14.142135623731,S06,none
-98.9949493661167,70.7106781186548,S07,none
-98.9949493661167,42.4264068711929,S08,none
-98.9949493661167,14.142135623731,S09,none
-98.9949493661167,-14.142135623731,S10,none
-70.7106781186548,70.7106781186548,S11,none
-70.7106781186548,42.4264068711929,S12,none
-70.7106781186548,14.142135623731,S13,none
-70.7106781186548,-14.142135623731,S14,none
-42.4264068711929,42.4264068711929,S15,none
-42.4264068711929,14.142135623731,S16,none
-42.4264068711929,-14.142135623731,S17,none
-14.142135623731,42.4264068711929,S18,none
-14.142135623731,14.142135623731,S19,none
-14.142135623731,-14.142135623731,S20,none
14.142135623731,42.4264068711929,S21,none
14.142135623731,14.142135623731,S22,none
14.142135623731,-14.142135623731,S23,none
42.4264068711929,42.4264068711929,S24,none
42.4264068711929,14.142135623731,S25,none
42.4264068711929,-14.142135623731,S26,none
70.7106781186548,70.7106781186548,S27,none
70.7106781186548,42.4264068711929,S28,none
70.7106781186548,14.142135623731,S29,none
70.7106781186548,-14.142135623731,S30,none
98.9949493661167,70.7106781186548,S31,none
98.9949493661167,42.4264068711929,S32,none
-141.42135623731,56.5685424949238,D01,none
-141.42135623731,28.2842712474619,D02,none
-141.42135623731,0,D03,none
-113.137084989848,56.5685424949238,D04,none
-113.137084989848,28.2842712474619,D05,none
-113.137084989848,0,D06,none
-84.8528137423857,56.5685424949238,D07,none
-84.8528137423857,28.2842712474619,D08,none
-84.8528137423857,0,D09,none
-56.5685424949238,56.5685424949238,D10,none
-56.5685424949238,28.2842712474619,D11,none
-56.5685424949238,0,D12,none
-56.5685424949238,-28.2842712474619,D13,none
-28.2842712474619,28.2842712474619,D14,none
-28.2842712474619,0,D15,none
-28.2842712474619,-28.2842712474619,D16,none
0,28.2842712474619,D17,none
0,0,D18,none
0,-28.2842712474619,D19,none
28.2842712474619,28.2842712474619,D20,none
28.2842712474619,0,D21,none
28.2842712474619,-28.2842712474619,D22,none
56.5685424949238,56.5685424949238,D23,none
56.5685424949238,28.2842712474619,D24,none
56.5685424949238,0,D25,none
84.8528137423857,56.5685424949238,D26,none
84.8528137423857,28.2842712474619,D27,none
84.8528137423857,0,D28,none
-155.56349186104,78.7106781186548,D29,none
-155.56349186104,50.4264068711929,D30,none
-155.56349186104,22.142135623731,D31,none
-127.279220613579,78.7106781186548,D32,none
-127.279220613579,50.4264068711929,D33,none
-127.279220613579,22.142135623731,D34,none
-98.9949493661167,22.142135623731,D35,none
-98.9949493661167,-6.14213562373095,D36,none
-98.9949493661167,78.7106781186548,D37,none
-98.9949493661167,50.4264068711929,D38,none
-70.7106781186548,78.7106781186548,D39,none
-70.7106781186548,50.4264068711929,D40,none
-70.7106781186548,22.142135623731,D41,none
-70.7106781186548,-6.14213562373095,D42,none
-42.4264068711929,50.4264068711929,D43,none
-42.4264068711929,22.142135623731,D44,none
-42.4264068711929,-6.14213562373095,D45,none
-14.142135623731,50.4264068711929,D46,none
-14.142135623731,22.142135623731,D47,none
-14.142135623731,-6.14213562373095,D48,none
14.142135623731,50.4264068711929,D49,none
14.142135623731,22.142135623731,D50,none
14.142135623731,-6.14213562373095,D51,none
42.4264068711929,50.4264068711929,D52,none
42.4264068711929,22.142135623731,D53,none
42.4264068711929,-6.14213562373095,D54,none
70.7106781186548,78.7106781186548,D55,none
70.7106781186548,50.4264068711929,D56,none
70.7106781186548,22.142135623731,D57,none
70.7106781186548,-6.14213562373095,D58,none
98.9949493661167,78.7106781186548,D59,none
98.9949493661167,50.4264068711929,D60,none
