x,y,dist,orient,direct,SrcNum,DetNum
9.000,-40.500,18.000,vert,straight,S07,D05
9.000,-49.500,36.000,vert,straight,S09,D05
18.000,-13.500,40.249,vert,antidiag,S02,D05
18.000,-40.500,25.456,vert,diagonal,S08,D05
18.000,-49.500,40.249,vert,diagonal,S10,D05
9.000,-67.500,36.000,vert,straight,S07,D11
18.000,-31.500,40.249,vert,antidiag,S07,D04
18.000,-40.500,25.456,vert,antidiag,S07,D06
18.000,-67.500,40.249,vert,diagonal,S07,D12
9.000,-76.500,18.000,vert,straight,S09,D11
18.000,-40.500,56.921,vert,antidiag,S09,D04
18.000,-49.500,40.249,vert,antidiag,S09,D06
18.000,-76.500,25.456,vert,diagonal,S09,D12
18.000,-40.500,91.782,vert,antidiag,S02,D11
18.000,-67.500,40.249,vert,antidiag,S08,D11
18.000,-76.500,25.456,vert,antidiag,S10,D11
27.000,-4.500,18.000,vert,straight,S02,D04
27.000,-13.500,36.000,vert,straight,S02,D06
27.000,-40.500,90.000,vert,straight,S02,D12
27.000,-31.500,36.000,vert,straight,S08,D04
27.000,-40.500,54.000,vert,straight,S10,D04
27.000,-40.500,18.000,vert,straight,S08,D06
27.000,-49.500,36.000,vert,straight,S10,D06
27.000,-67.500,36.000,vert,straight,S08,D12
27.000,-76.500,18.000,vert,straight,S10,D12
