x,y,OptNum
-27.000,4.500,D01
-27.000,-13.500,S03
-27.000,-31.500,S05
-27.000,-49.500,D07
-27.000,-67.500,D09
-27.000,-85.500,S11
-9.000,4.500,D02
-9.000,-13.500,S04
-9.000,-31.500,S06
-9.000,-49.500,D08
-9.000,-67.500,D10
-9.000,-85.500,S12
9.000,4.500,S01
9.000,-13.500,D03
9.000,-31.500,D05
9.000,-49.500,S07
9.000,-67.500,S09
9.000,-85.500,D11
27.000,4.500,S02
27.000,-13.500,D04
27.000,-31.500,D06
27.000,-49.500,S08
27.000,-67.500,S10
27.000,-85.500,D12
